Sipm DAC Count, measurement
4000, 86.7687595712098
3990, 86.10244648318043
3980, 86.29204892966361
3970, 86.30886850152905
3960, 86.37308868501529
3950, 87.02140672782875
3940, 87.02905198776759
3930, 86.8348623853211
3920, 86.9434250764526
3910, 87.06727828746178
3900, 86.46636085626912
3890, 86.82721712538226
3880, 86.09633027522936
3870, 86.28593272171254
3860, 86.64984709480122
3850, 87.65443425076452
3840, 87.57492354740062
3830, 86.90811638591119
3820, 87.30581039755351
3810, 86.9770642201835
3800, 87.14525993883792
3790, 86.78134556574923
3780, 86.81526717557252
3770, 86.62748091603054
3760, 86.50305810397553
3750, 86.53669724770643
3740, 87.48470948012232
3730, 87.06116207951071
3720, 86.56116207951071
3710, 87.05513016845329
3700, 87.01374045801526
3690, 87.09770992366413
3680, 87.63608562691131
3670, 87.13914373088684
3660, 87.08715596330275
3650, 87.14220183486239
3640, 87.29969418960245
3630, 87.04587155963303
3620, 86.66615853658537
3610, 86.62844036697248
3600, 86.85321100917432
3590, 86.70948012232417
3580, 87.23700305810398
3570, 86.57798165137615
3560, 87.33333333333333
3550, 86.51834862385321
3540, 86.93272171253822
3530, 86.79357798165138
3520, 86.29816513761467
3510, 86.57339449541284
3500, 86.85626911314985
3490, 86.63914373088684
3480, 87.26952526799387
3470, 86.72519083969466
3460, 86.91284403669725
3450, 86.29051987767583
3440, 86.77522935779817
3430, 87.62595419847328
3420, 87.57951070336391
3410, 86.80886850152905
3400, 86.61009174311927
3390, 87.21832061068702
3380, 86.6223241590214
3370, 86.88532110091744
3360, 87.64373088685015
3350, 87.14088820826953
3340, 86.77675840978593
3330, 86.70336391437309
3320, 86.7782874617737
3310, 86.70444104134762
3300, 87.21559633027523
3290, 86.75840978593273
3280, 86.19571865443424
3270, 86.59877488514549
3260, 86.91590214067278
3250, 86.80428134556576
3240, 86.57557251908396
3230, 86.68042813455658
3220, 86.71712538226299
3210, 87.16819571865443
3200, 87.59174311926606
3190, 87.44954128440367
3180, 91.58868501529052
3170, 96.62385321100918
3160, 104.29510703363914
3150, 112.70992366412214
3140, 120.40214067278288
3130, 132.21406727828747
3120, 141.72324159021406
3110, 158.7740458015267
3100, 179.11009174311926
3090, 201.5328244274809
3080, 223.6743119266055
3070, 248.4333843797856
3060, 274.3267175572519
3050, 302.3532110091743
3040, 331.230534351145
3030, 361.86850152905197
3020, 394.79357798165137
3010, 427.7584097859327
3000, 461.67125382263
2990, 498.651376146789
2980, 535.7339449541284
2970, 576.8931297709923
2960, 615.428134556575
2950, 658.8455657492354
2940, 704.193893129771
2930, 750.2778625954198
2920, 797.428134556575
2910, 843.7339449541284
2900, 891.1559633027523
2890, 936.0961832061068
2880, 982.9724770642201
2870, 1033.3923664122137
2860, 1083.4694189602446
2850, 1135.7862595419847
2840, 1186.5358778625955
2830, 1237.2262996941895
2820, 1289.4006116207952
2810, 1340.6299694189602
2800, 1394.5275229357799
2790, 1450.4740061162079
2780, 1508.934250764526
2770, 1567.3547400611621
2760, 1624.1376146788991
2750, 1680.2492354740061
2740, 1738.0168195718654
2730, 1794.4755351681956
2720, 1850.5489296636085
2710, 1905.9525993883792
2700, 1966.5145038167939
2690, 2026.5045871559632
2680, 2084.5519877675843
2670, 2142.525993883792
2660, 2202.952599388379
2650, 2268.9051987767584
2640, 2333.37003058104
2630, 2396.485496183206
2620, 2456.848623853211
2610, 2522.3455657492354
2600, 2586.788990825688
2590, 2649.0581039755352
2580, 2709.3792048929663
2570, 2769.7599388379203
